mesa_id,i
0100100001X,23954
0100100002X,23955
0100100003X,23956
0100100004X,23957
0100100005X,23958
0100100006X,23959
0100100007X,23960
0100100008X,23961
0100100009X,23962
0100100010X,23963
0100100011X,23964
0100100012X,23965
0100100013X,23966
0100100014X,23967
0100100015X,23968
0100100016X,23969
0100100017X,23970
0100100018X,23971
0100100019X,23972
0100100020X,23973
0100100021X,23974
0100100022X,23975
0100100023X,23976
0100100024X,23977
0100100025X,23978
0100100026X,23979
0100100027X,23980
0100100028X,23981
0100100029X,23982
0100100030X,23983
0100100031X,23984
0100100032X,23985
0100100033X,23986
0100100034X,23987
0100100035X,23988
0100100036X,23989
0100100037X,23990
0100100038X,23991
0100100039X,23992
0100100040X,23993
0100100041X,23994
0100100042X,23995
0100100043X,23996
0100100044X,23997
0100100045X,23998
0100100046X,23999
0100100047X,24000
0100100048X,24001
0100100049X,24002
0100100050X,24003
0100100051X,24004
0100100052X,24005
0100100053X,24006
0100100054X,24007
0100100055X,24008
0100100056X,24009
0100100057X,24010
0100100058X,24011
0100100059X,24012
0100100060X,24013
0100100061X,24014
0100100062X,24015
0100100063X,24016
0100100064X,24017
0100100065X,24018
0100100066X,24019
0100100067X,24020
0100100068X,24021
0100100069X,24022
0100100070X,24023
0100100071X,24024
0100100072X,24025
0100100073X,24026
0100100074X,24027
0100100075X,24028
0100100076X,24029
0100100077X,24030
0100100078X,24031
0100100079X,24032
0100100080X,24033
0100100081X,24034
0100100082X,24035
0100100083X,24036
0100100084X,24037
0100100085X,24038
0100100086X,24039
0100100087X,24040
0100100088X,24041
0100100089X,24042
0100100090X,24043
0100100091X,24044
0100100092X,24045
0100100093X,24046
0100100094X,24047
0100100095X,24048
0100100096X,24049
0100100097X,24050
0100100098X,24051
0100100099X,24052
0100100100X,24053
0100100101X,24054
0100100102X,24055
0100100103X,24056
0100100104X,24057
0100100105X,24058
0100100106X,24059
0100100107X,24060
0100100108X,24061
0100100109X,24062
0100100110X,24063
0100100111X,24064
0100100112X,24065
0100100113X,24066
0100100114X,24067
0100100115X,24068
0100100116X,24069
0100100117X,24070
0100100118X,24071
0100100119X,24072
0100100120X,24073
0100100121X,24074
0100100122X,24075
0100100123X,24076
0100100124X,24077
0100100125X,24078
0100100126X,24079
0100100127X,24080
0100100128X,24081
0100100129X,24082
0100100130X,24083
0100100131X,24084
0100100132X,24085
0100100133X,24086
0100100134X,24087
0100100135X,24088
0100100136X,24089
0100100137X,24090
0100100138X,24091
0100100139X,24092
0100100140X,24093
0100100141X,24094
0100100142X,24095
0100100143X,24096
0100100144X,24097
0100100145X,24098
0100100146X,24099
0100100147X,24100
0100100148X,24101
0100100149X,24102
0100100150X,24103
0100100151X,24104
0100100152X,24105
0100100153X,24106
0100100154X,24107
0100100155X,24108
0100100156X,24109
0100100157X,24110
0100100158X,24111
0100100159X,24112
0100100160X,24113
0100100161X,24114
0100100162X,24115
0100100163X,24116
0100100164X,24117
0100100165X,24118
0100100166X,24119
0100100167X,24120
0100100168X,24121
0100100169X,24122
0100100170X,24123
0100100171X,24124
0100100172X,24125
0100100173X,24126
0100100174X,24127
0100100175X,24128
0100100176X,24129
0100100177X,24130
0100100178X,24131
0100100179X,24132
0100100180X,24133
0100100181X,24134
0100100182X,24135
0100100183X,24136
0100100184X,24137
0100100185X,24138
0100100186X,24139
0100100187X,24140
0100100188X,24141
0100100189X,24142
0100100190X,24143
0100100191X,24144
0100100192X,24145
0100100193X,24146
0100100194X,24147
0100100195X,24148
0100100196X,24149
0100100197X,24150
0100100198X,24151
0100100199X,24152
0100100200X,24153
0100100201X,24154
0100100202X,24155
0100100203X,24156
0100100204X,24157
0100100205X,24158
0100100206X,24159
0100100207X,24160
0100100208X,24161
0100100209X,24162
0100100210X,24163
0100100211X,24164
0100100212X,24165
0100100213X,24166
0100100214X,24167
0100100215X,24168
0100100216X,24169
0100100217X,24170
0100100218X,24171
0100100219X,24172
0100100220X,24173
0100100221X,24174
0100100222X,24175
0100100223X,24176
0100100224X,24177
0100100225X,24178
0100100226X,24179
0100100227X,24180
0100100228X,24181
0100100229X,24182
0100100230X,24183
0100100231X,24184
0100100232X,24185
0100100233X,24186
0100100234X,24187
0100100235X,24188
0100100236X,24189
0100100237X,24190
0100100238X,24191
0100100239X,24192
0100100240X,24193
0100100241X,24194
0100100242X,24195
0100100243X,24196
0100100244X,24197
0100100245X,24198
0100100246X,24199
0100100247X,24200
0100100248X,24201
0100100249X,24202
0100100250X,24203
0100100251X,24204
0100100252X,24205
0100100253X,24206
0100100254X,24207
0100100255X,24208
0100100256X,24209
0100100257X,24210
0100100258X,24211
0100100259X,24212
0100100260X,24213
0100100261X,24214
0100100262X,24215
0100100263X,24216
0100100264X,24217
0100100265X,24218
0100100266X,24219
0100100267X,24220
0100100268X,24221
0100100269X,24222
0100100270X,24223
0100100271X,24224
0100100272X,24225
0100100273X,24226
0100100274X,24227
0100100275X,24228
0100100276X,24229
0100100277X,24230
0100100278X,24231
0100100279X,24232
0100100280X,24233
0100100281X,24234
0100100282X,24235
0100100283X,24236
0100100284X,24237
0100100285X,24238
0100100286X,24239
0100100287X,24240
0100100288X,24241
0100100289X,24242
0100100290X,24243
0100100291X,24244
0100100292X,24245
0100100293X,24246
0100100294X,24247
0100100295X,24248
0100100296X,24249
0100100297X,24250
0100100298X,24251
0100100299X,24252
0100100300X,24253
0100100301X,24254
0100100302X,24255
0100100303X,24256
0100100304X,24257
0100100305X,24258
0100100306X,24259
0100100307X,24260
0100100308X,24261
0100100309X,24262
0100100310X,24263
0100100311X,24264
0100100312X,24265
0100100313X,24266
0100100314X,24267
0100100315X,24268
